0,0,0,3,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,133,125,145,295,0,0,0,0,0,0,0,0,0,0,0,0,7,17,29,30,46,50,109,110,114,64,48,36,36,43,63,68,103,129,146,153,171,199,421,220,106,112,164,1499,0,0,865,0,0,0,2,0,84,73,56,55,55,55,54,37,29,8,0,39,82,145,102,116,144,163,163,74,22,0,0,0,0,90,10,0,0,0,0,0,9,15,21,26,66,39,34,35,43,66,100,53,99,23,9,1
0,0,0,0,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,81,0,286,0,0,0,0,0,0,0,0,0,0,0,0,11,18,33,35,45,53,87,101,117,93,79,75,62,60,77,77,90,129,146,142,164,192,318,290,223,168,164,1596,769,850,874,0,0,0,0,4,157,88,78,77,65,58,47,35,40,39,62,114,138,155,138,140,133,126,79,0,0,0,0,0,0,108,5,0,0,0,0,6,17,30,56,86,85,66,58,56,62,75,94,91,220,56,33,13
0,0,0,3,5,13,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,277,112,41,9,0,0,0,0,0,0,0,0,14,36,61,64,61,63,64,87,99,124,117,104,91,81,87,93,96,100,131,163,152,162,191,271,287,289,253,211,958,862,1527,432,0,0,0,0,0,221,92,88,82,81,77,67,70,76,92,119,137,160,157,144,142,134,110,52,5,0,0,0,200,191,182,11,0,9,8,10,17,30,0,0,46,82,79,73,77,81,96,104,111,290,0,0,0
0,0,0,9,12,22,73,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,147,114,47,0,0,0,0,0,0,0,0,0,0,0,37,96,160,238,323,426,541,662,788,923,1028,1125,1235,1347,1468,1575,1745,1931,2087,2448,2697,2903,3085,3265,3434,3563,4099,4590,0,3636,3378,3305,3220,3109,2930,2735,2343,2198,2138,2074,2017,1742,1624,1508,1401,1285,1174,1065,920,795,684,562,453,358,300,259,232,218,209,0,36,6,0,15,20,23,29,60,0,0,25,69,88,77,78,90,90,110,121,372,0,0,0
0,0,0,12,17,25,113,17,15,23,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,54,0,77,149,82,0,0,0,0,0,0,0,0,0,0,0,0,17,28,58,76,76,73,67,83,91,91,99,95,106,120,106,174,156,133,534,264,127,72,46,36,41,51,49,340,85,103,137,187,288,358,283,167,0,0,0,215,162,119,102,96,83,67,65,49,58,71,58,58,36,32,19,6,0,0,0,18,3,7,27,38,40,40,87,45,0,16,51,81,94,86,98,95,100,109,443,0,0,6
0,0,0,22,45,70,230,40,30,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,27,13,0,0,96,169,160,0,0,0,0,0,0,0,0,0,0,0,26,37,58,58,59,72,80,86,87,89,87,93,93,104,97,219,124,97,448,0,0,0,4,13,31,41,48,266,62,59,75,119,211,421,383,347,0,0,0,108,199,94,83,80,68,62,54,29,28,52,35,39,31,26,16,9,0,0,0,6,0,0,12,45,80,80,102,114,69,49,64,82,101,114,112,127,124,119,522,282,167,109
0,0,0,0,0,0,268,38,31,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,151,42,18,0,0,0,0,0,0,0,9,18,35,30,41,47,53,59,54,65,74,73,67,70,69,91,80,145,0,54,384,0,0,0,0,7,29,36,41,189,35,28,8,0,0,217,402,740,0,0,0,0,148,103,79,79,56,51,38,19,0,19,26,23,20,13,0,0,0,0,0,0,0,0,0,0,72,119,179,242,158,110,99,108,103,122,115,125,130,130,319,286,221,257
3,0,0,0,0,0,314,50,41,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,91,29,21,0,0,0,0,0,0,0,0,0,6,25,33,41,44,44,48,57,56,53,50,62,61,67,71,90,0,79,333,0,0,0,0,8,22,24,30,134,24,18,6,0,0,0,0,731,391,69,38,0,79,95,85,84,55,44,35,24,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,14,23,0,0,133,151,140,129,121,120,142,139,158,147,146,251,298,225,392
12,0,0,0,0,0,348,45,40,27,19,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,9,0,7,59,24,26,6,0,0,0,0,0,0,0,0,4,30,21,28,34,26,32,36,39,43,40,49,42,56,77,88,93,135,290,0,0,0,0,5,10,21,26,86,24,7,0,0,0,0,0,322,626,28,57,48,51,60,68,83,52,42,33,41,19,4,0,0,0,0,0,0,0,0,0,0,13,4,0,5,0,0,0,76,118,125,136,150,151,158,145,168,180,154,198,287,263,532
17,2,4,27,0,0,394,55,46,37,33,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,26,36,34,16,4,0,18,13,11,3,0,0,0,0,0,0,0,0,1,14,0,3,9,6,20,23,22,24,24,36,44,57,69,60,68,70,216,6,0,0,0,0,4,9,9,39,17,2,0,0,0,0,0,0,602,0,0,9,20,33,51,96,46,32,12,8,5,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,43,98,130,135,136,149,162,174,167,193,182,190,347,508,837
12,0,0,44,4,0,446,58,62,48,35,21,10,0,0,0,0,0,0,0,0,0,3,0,0,0,61,42,43,24,16,8,6,3,4,0,0,0,0,0,0,0,0,0,0,6,0,0,2,3,6,7,7,8,16,26,28,39,50,47,69,75,146,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,593,284,0,0,0,0,0,55,37,26,12,0,0,0,0,0,0,0,0,0,0,5,9,11,48,0,0,0,0,0,2,26,74,103,136,144,144,146,157,168,194,199,0,0,235,968
14,9,0,125,146,263,495,68,74,56,44,27,18,7,5,4,0,0,0,0,0,0,22,10,0,0,126,98,140,102,77,38,18,13,13,2,0,0,0,0,0,0,0,0,8,10,19,18,13,15,0,0,6,0,4,10,20,29,38,36,52,60,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,566,0,0,13,4,0,26,32,17,14,0,0,0,0,0,0,0,0,0,4,12,23,19,67,0,0,0,0,7,14,30,73,97,127,164,153,175,178,182,199,304,313,322,297,1134
0,18,135,254,236,281,290,77,76,56,42,27,26,24,22,15,8,0,0,0,0,28,56,43,72,108,181,91,76,0,9,3,0,27,23,3,0,0,0,0,0,0,0,9,22,0,14,26,32,43,0,0,25,7,0,5,14,18,25,20,36,68,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,548,267,149,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,9,14,35,46,106,0,0,0,0,7,14,28,53,90,111,155,147,162,178,198,213,0,0,163,242,1264
0,14,851,675,525,391,245,76,72,54,46,42,39,34,29,19,14,6,0,0,0,87,85,84,116,121,132,76,45,0,0,0,4,61,15,0,0,0,0,0,0,4,5,17,45,0,13,28,43,72,35,0,44,13,3,0,2,5,7,10,23,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,211,267,170,15,6,0,0,0,0,0,0,0,0,0,0,0,9,24,32,41,53,142,86,43,0,0,14,19,35,53,79,109,158,184,182,183,199,317,0,0,98,174,1359
0,0,860,0,0,0,2,0,88,75,70,60,54,50,44,32,27,11,0,54,89,154,104,114,138,137,155,76,32,0,0,0,0,79,12,0,0,0,0,0,11,18,16,31,67,36,31,36,53,84,90,53,99,24,10,1,0,0,0,3,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,143,132,158,295,0,0,0,0,0,0,0,0,0,0,0,0,6,14,23,36,42,51,97,105,112,59,37,36,36,41,54,75,99,122,162,183,205,223,453,227,124,122,160,1448
797,804,869,0,0,0,0,2,152,79,74,69,74,62,56,42,40,39,61,126,120,135,131,142,149,128,88,0,0,0,0,0,0,104,12,0,0,0,0,3,20,35,50,86,86,65,58,55,56,79,90,79,210,56,30,14,0,0,0,0,2,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,81,0,286,0,0,0,0,0,0,0,0,0,0,0,0,11,22,27,46,59,60,84,109,118,88,74,60,60,63,64,70,100,116,141,163,190,220,345,305,219,194,192,1559
856,1503,484,0,0,0,0,0,211,90,90,84,74,68,60,63,74,90,118,152,147,153,164,157,143,96,51,5,0,0,0,198,189,180,11,0,9,8,7,13,31,0,0,49,87,88,82,76,68,79,89,91,267,0,0,0,0,0,0,4,8,17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,277,114,59,9,0,0,0,0,0,0,0,0,14,32,57,48,60,72,78,88,111,129,116,111,96,93,88,87,91,111,120,133,164,161,205,283,310,270,236,222,882
