107,158,201,249,301,355,408,450,499,546,296,202,138,117,196,4,0,0,6,4398,233,135,40,0,0,0,0,13,0,0,16,0,0,0,0,5,18,32,33,24,18,22,22,40,36,52,112,239,493,960,1855,1249,68,74,102,176,310,650,1294,2584,71,43,21,0,0,0,0,22,4557,39,20,2,0,0,0,755,122,79,35,11,0,0,0,10,9,13,33,22,8,6,12,10,14,10,6,12,22,15,13,22,15,28,8,0,0,0,10,28,32,49,61,62
56,68,59,63,59,62,53,59,59,63,60,66,71,79,121,4,0,0,10,4511,163,77,18,0,0,0,0,0,0,9,31,0,0,0,0,5,20,37,100,47,45,50,57,100,136,223,373,574,840,1104,1249,675,128,176,270,433,645,1034,1339,1337,67,51,34,4,0,0,4,37,4511,47,28,3,0,0,0,840,106,62,41,10,0,0,0,21,20,25,83,30,26,27,34,24,27,25,28,35,41,39,37,44,33,36,15,7,0,0,9,22,29,40,42,60
27,32,33,39,39,40,40,45,38,48,47,51,42,40,56,0,0,0,0,4593,129,55,20,0,0,0,0,10,16,32,64,0,0,0,0,8,27,37,168,78,87,103,146,215,270,404,565,729,945,989,884,462,255,328,474,672,876,1084,1048,709,70,49,21,0,0,0,0,26,4442,45,24,0,0,0,0,898,77,55,31,0,0,0,0,17,30,32,143,51,43,50,54,44,48,50,48,61,66,67,66,55,46,40,21,7,0,0,9,15,21,25,33,45
13,17,19,17,28,21,22,23,21,39,27,25,17,18,22,0,0,0,0,4667,92,45,24,5,0,0,0,9,22,39,109,6,0,0,0,7,28,42,11558,11348,11289,11216,11148,11056,6222,5973,5662,5320,4932,4412,3925,3455,3212,3058,2892,2636,2260,1806,1247,716,161,82,25,0,0,0,0,25,4390,41,24,0,0,0,0,947,68,53,18,0,0,0,0,12,35,51,930,737,699,643,590,546,506,466,406,358,301,253,200,153,120,77,35,8,0,0,0,1,6,17,18,22
0,0,0,5,9,0,0,4,8,10,0,0,0,0,0,0,0,0,0,4720,80,51,31,6,0,0,0,5,22,34,156,7,0,0,0,8,32,55,11605,0,6,0,0,4704,224,151,74,12,0,0,7,0,0,0,0,0,0,0,0,199,49,30,9,0,0,0,8,46,4342,45,38,11,0,0,0,1004,72,44,14,0,0,0,0,20,26,50,974,0,14,12,5,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4770,75,45,20,0,0,0,0,9,31,50,197,0,0,0,0,10,24,41,11638,0,0,0,5,4561,257,208,112,0,0,0,0,0,0,0,0,0,0,0,0,156,52,29,7,0,0,0,12,34,4270,43,24,10,0,0,0,1048,61,37,24,0,0,0,0,23,34,48,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4813,71,41,14,0,0,0,0,15,26,51,244,0,0,0,0,19,38,51,11686,0,0,0,0,4415,278,267,175,0,0,0,0,0,0,0,0,0,0,0,0,101,59,41,14,0,0,0,13,28,4212,41,21,6,0,0,0,1090,58,35,18,0,0,0,0,16,31,49,1064,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,5,0,0,9,0,0,0,0,0,0,0,6,6,0,0,0,4872,77,37,10,0,0,0,4,22,31,56,299,2,0,0,4,26,41,46,11727,6,0,0,0,4262,305,359,341,0,0,4,0,0,3,0,0,0,0,0,0,56,52,33,14,0,0,0,12,29,4159,45,20,6,0,0,0,1129,55,37,14,0,0,0,0,17,36,54,1103,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,8,9,0,0,0,0,0,0,0
11,16,27,35,27,16,36,0,0,0,0,20,14,19,26,38,18,20,11,4933,60,30,12,0,0,0,6,31,36,56,343,0,0,0,0,20,51,66,11778,8,0,0,0,4088,245,369,661,607,563,521,464,414,374,323,271,224,175,119,72,51,49,40,20,0,0,0,10,33,4097,40,15,0,0,0,0,1175,62,36,11,0,0,0,0,11,30,62,1178,14,0,0,0,10,16,13,11,11,9,14,33,23,10,15,22,24,33,25,22,30,19,18,11,9
30,19,37,38,45,38,83,0,0,0,0,16,19,25,29,47,48,50,34,4997,56,36,26,6,0,0,0,22,39,57,404,0,0,0,0,11,39,65,11832,11,0,0,0,3938,82,68,65,58,58,57,53,50,43,52,62,65,54,56,52,45,40,34,14,0,0,0,11,39,4044,33,14,0,0,0,0,1228,55,35,13,0,0,0,0,23,34,54,1215,0,0,0,0,14,26,31,29,34,31,22,40,45,39,30,35,45,49,45,41,47,43,47,37,33
69,56,61,60,64,57,123,0,0,0,0,16,32,39,48,61,59,66,68,5077,47,34,18,0,0,0,0,16,37,40,447,5,0,0,0,10,33,63,11890,11,0,0,0,3885,74,70,48,33,34,40,36,39,27,22,29,46,48,52,48,38,37,34,23,5,0,0,11,52,3992,30,12,0,0,0,0,1267,41,45,18,0,0,0,0,17,36,63,1263,0,0,0,0,21,31,46,36,45,51,38,51,64,66,63,58,55,66,56,64,60,59,70,65,54
870,912,958,508,290,186,258,0,0,0,0,178,486,848,1333,1929,2465,2510,2558,7679,46,39,16,0,0,0,0,23,44,53,505,7,0,0,0,27,74,119,0,11,0,0,90,3834,65,61,45,28,20,27,19,27,15,8,8,11,15,21,28,13,12,17,5,0,0,0,4,73,3928,36,14,0,0,0,0,1315,57,46,9,0,0,0,0,12,32,61,1317,0,0,0,0,17,31,59,58,62,107,152,184,232,287,332,379,425,481,518,567,615,664,723,794,828
0,0,492,768,533,365,451,0,0,0,0,321,523,618,864,1016,479,0,0,7725,60,47,20,0,0,0,0,17,37,53,544,0,0,0,0,0,6,0,0,0,0,0,160,3680,58,50,24,8,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,120,3853,34,15,0,0,0,0,1350,51,30,9,0,0,0,0,10,26,58,1364,0,0,0,0,23,34,57,73,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,0
0,0,0,396,447,423,667,0,0,0,0,575,739,720,1138,583,0,0,0,7777,61,55,26,3,0,0,0,26,45,62,588,0,0,0,0,0,0,0,0,0,0,0,309,3559,59,55,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,3763,47,25,0,0,0,0,1389,52,26,10,0,0,0,0,10,23,46,1408,0,0,0,0,18,33,49,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,218,341,419,882,0,0,0,648,1121,859,629,758,0,0,0,5,7834,67,50,10,0,0,0,0,17,41,77,646,0,0,0,0,0,0,0,0,0,0,0,571,3352,56,43,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,434,3615,44,16,0,0,0,0,1439,60,35,18,0,0,0,0,22,37,59,1445,0,0,0,0,17,41,55,170,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,113,216,332,1075,0,0,858,1321,912,607,413,439,0,0,0,0,7881,68,35,8,0,0,0,0,13,34,66,702,361,0,0,0,0,6,0,0,0,0,734,1111,3034,59,41,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,404,436,3342,48,20,0,0,0,4,1492,60,37,16,4,0,0,0,13,34,65,1489,0,0,0,0,9,40,59,216,0,0,0,6,8,0,0,0,0,0,0,0,7,0,0,0,0
0,0,3,91,234,427,1546,1596,1647,1680,868,456,275,170,221,0,0,0,0,7925,61,35,16,0,0,0,0,21,63,134,525,929,980,1032,1079,1128,1193,1240,1299,1359,1411,1458,769,2443,60,42,25,0,0,0,3,31,69,106,157,231,283,351,396,450,498,545,595,651,711,766,816,462,3090,68,23,0,0,0,0,1550,70,42,18,11,0,0,0,15,33,62,1533,0,0,0,0,7,32,53,250,125,70,49,35,41,24,14,22,0,0,0,0,37,9,8,6,0
